 X,Y,Z,U,V,W,R
   659.02524 ,   694.64892 ,   -64.90895 ,     0.00080 ,    -0.00019 ,    -0.00081 ,     5.56954
   675.23676 ,   690.10004 ,    34.95289 ,    -0.00028 ,     0.00036 ,    -0.00047 ,     4.72137
   691.70208 ,   728.18550 ,    -6.34651 ,    -0.00006 ,    -0.00027 ,     0.00067 ,     5.80811
   708.24666 ,   720.06672 ,    21.57688 ,    -0.00072 ,     0.00038 ,     0.00058 ,     4.25260
   693.03931 ,   666.41693 ,    42.13839 ,    -0.00017 ,    -0.00060 ,    -0.00087 ,     5.49150
   688.36168 ,   688.06284 ,   -61.43271 ,    -0.00007 ,    -0.00020 ,     0.00049 ,     5.25277
   691.43634 ,   711.22307 ,   -21.91913 ,     0.00008 ,     0.00023 ,     0.00021 ,     5.68218
   706.58444 ,   710.15099 ,   111.00806 ,     0.00075 ,     0.00020 ,     0.00100 ,     4.98945
   765.68942 ,   702.71028 ,    89.75037 ,    -0.00030 ,    -0.00089 ,     0.00061 ,     5.69113
   731.01501 ,   750.43879 ,   -18.76769 ,     0.00070 ,     0.00036 ,     0.00015 ,     4.15138
   657.52788 ,   704.15535 ,    -3.25587 ,     0.00002 ,    -0.00055 ,    -0.00058 ,     5.79493
   836.31871 ,   797.09329 ,    66.71615 ,     0.00092 ,     0.00080 ,    -0.00091 ,     4.62141
   718.27433 ,   694.17173 ,    -7.75424 ,    -0.00066 ,    -0.00095 ,     0.00052 ,     5.11483
   725.63132 ,   709.14503 ,    13.08108 ,     0.00059 ,    -0.00091 ,     0.00036 ,     5.61786
   767.11925 ,   713.47934 ,    46.78262 ,    -0.00085 ,     0.00042 ,     0.00075 ,     4.34532
   722.43983 ,   695.06411 ,     7.88262 ,    -0.00027 ,     0.00007 ,     0.00002 ,     4.89723
   659.70114 ,   700.27329 ,   189.19248 ,     0.00039 ,    -0.00078 ,     0.00087 ,     4.33962
   737.55358 ,   736.00386 ,   -63.94803 ,    -0.00094 ,     0.00060 ,    -0.00029 ,     4.71268
   840.72419 ,   698.18628 ,    92.30694 ,    -0.00040 ,     0.00087 ,     0.00032 ,     4.00034
   729.60878 ,   741.67261 ,    51.38444 ,    -0.00023 ,     0.00005 ,     0.00062 ,     4.78473
   599.72060 ,   728.86105 ,   -33.35267 ,    -0.00009 ,     0.00009 ,     0.00078 ,     5.62939
   671.65733 ,   751.54044 ,    58.21120 ,    -0.00092 ,    -0.00041 ,    -0.00070 ,     4.12786
   693.79549 ,   748.89283 ,    66.09999 ,    -0.00020 ,    -0.00021 ,    -0.00033 ,     5.16155
   692.53879 ,   638.90565 ,  -124.92211 ,     0.00074 ,     0.00023 ,    -0.00006 ,     5.01455
   599.35538 ,   647.63126 ,   111.78173 ,     0.00073 ,    -0.00058 ,     0.00086 ,     5.06877
   725.47062 ,   712.98043 ,   -29.87648 ,    -0.00037 ,     0.00055 ,     0.00020 ,     4.56396
   699.36488 ,   600.55094 ,   146.44955 ,    -0.00017 ,     0.00044 ,     0.00088 ,     5.24303
   734.72626 ,   704.10586 ,   -23.76896 ,     0.00084 ,    -0.00089 ,     0.00003 ,     5.02360
   741.14953 ,   689.90625 ,   -15.88252 ,     0.00027 ,    -0.00045 ,    -0.00040 ,     4.53984
   683.39889 ,   726.69171 ,    62.23682 ,     0.00039 ,    -0.00082 ,     0.00027 ,     4.17673
   630.27449 ,   684.80513 ,    46.57487 ,    -0.00032 ,     0.00022 ,     0.00007 ,     5.57304
   762.68137 ,   626.57219 ,   -98.92898 ,    -0.00093 ,     0.00039 ,     0.00093 ,     5.43189
   677.84263 ,   771.88799 ,   118.96454 ,     0.00099 ,     0.00046 ,    -0.00088 ,     4.88730
   759.90215 ,   711.78375 ,   -72.12730 ,    -0.00076 ,     0.00085 ,    -0.00056 ,     5.01326
   700.95478 ,   698.21778 ,  -167.84013 ,     0.00067 ,    -0.00019 ,    -0.00004 ,     4.80370
   719.99748 ,   754.70211 ,    94.83755 ,    -0.00007 ,     0.00069 ,    -0.00009 ,     4.17297
   707.86506 ,   720.77982 ,   -15.00934 ,     0.00055 ,    -0.00014 ,     0.00095 ,     4.55228
   676.01424 ,   756.18223 ,    85.90418 ,    -0.00050 ,    -0.00036 ,     0.00048 ,     4.10185
   676.35631 ,   633.05950 ,    97.18039 ,    -0.00014 ,    -0.00092 ,     0.00003 ,     4.54055
   830.86384 ,   627.10470 ,  -104.03911 ,     0.00067 ,     0.00001 ,    -0.00092 ,     4.45827
   701.70005 ,   699.03091 ,   -26.11900 ,     0.00049 ,     0.00008 ,    -0.00050 ,     5.09834
   729.58755 ,   689.10377 ,    16.22490 ,     0.00066 ,    -0.00092 ,    -0.00038 ,     5.86998
   658.92895 ,   694.41738 ,   -11.08212 ,     0.00031 ,     0.00014 ,     0.00047 ,     5.30456
   743.91946 ,   711.66896 ,  -103.95866 ,     0.00018 ,     0.00045 ,     0.00003 ,     5.43183
   546.66569 ,   776.47462 ,   -50.93733 ,     0.00084 ,     0.00046 ,    -0.00071 ,     5.70317
   674.33076 ,   761.45879 ,   -44.37031 ,    -0.00094 ,     0.00016 ,     0.00003 ,     4.00075
   736.73028 ,   682.50513 ,   -40.61017 ,    -0.00072 ,     0.00097 ,     0.00078 ,     4.07316
   760.14318 ,   747.64091 ,  -123.94348 ,     0.00037 ,     0.00071 ,     0.00075 ,     4.61095
